ligand,predicted_affinity,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004622639.mol2,7.39407897,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012922352.mol2,7.388705611,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003024936.mol2,7.35965848,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000060348752.mol2,7.348510027,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019930088.mol2,7.312303185,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000185955228.mol2,7.311945558,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012821194.mol2,7.29663372,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032909194.mol2,7.290321589,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065363830.mol2,7.260515094,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013831714.mol2,7.244387269,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065625727.mol2,7.240148187,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065363829.mol2,7.21660912,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000014980932.mol2,7.216494679,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000237507918.mol2,7.186258435,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000048142393.mol2,7.18344748,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028208282.mol2,7.178529501,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000011717562.mol2,7.1779567,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000085467230.mol2,7.17792213,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013117956.mol2,7.172476649,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013117958.mol2,7.172476649,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072194202.mol2,7.166404724,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000058441530.mol2,7.152908444,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000058441528.mol2,7.128936052,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072346041.mol2,7.11410284,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072346040.mol2,7.11410284,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000008220330.mol2,7.10652113,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207189.mol2,7.096203566,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032926714.mol2,7.09493041,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000584887901.mol2,7.078092694,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000584887900.mol2,7.078092694,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013004650.mol2,7.076536417,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207877.mol2,7.068564892,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000017301920.mol2,7.055471539,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001741503.mol2,7.054898143,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032665136.mol2,7.050311565,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000048142396.mol2,7.048834562,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065225071.mol2,7.035235763,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002813421.mol2,7.025719285,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000651783070.mol2,7.013448477,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028208433.mol2,7.011016607,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009134025.mol2,6.984881163,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002875367.mol2,6.969113946,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408612539.mol2,6.943474412,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000222662148.mol2,6.943216324,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000222662084.mol2,6.943216324,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012933239.mol2,6.94265604,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000409142268.mol2,6.934229732,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004985930.mol2,6.931987405,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009096930.mol2,6.925391555,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000060348751.mol2,6.925184727,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012146325.mol2,6.918119788,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408608234.mol2,6.911720037,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000096120093.mol2,6.909964681,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003004194.mol2,6.901907325,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032867738.mol2,6.900404692,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000010679653.mol2,6.899917126,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408781783.mol2,6.896748543,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408618781.mol2,6.89468503,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000067338662.mol2,6.892963052,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032665137.mol2,6.891280413,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000034812841.mol2,6.886277795,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000034812840.mol2,6.886277795,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408781785.mol2,6.867668629,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207815.mol2,6.864107847,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000409142269.mol2,6.854724884,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004977041.mol2,6.843219399,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012438637.mol2,6.833831072,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000067338665.mol2,6.833131909,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019929932.mol2,6.826887727,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019929934.mol2,6.826887727,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000020032655.mol2,6.819802523,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000020069904.mol2,6.805973649,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065467385.mol2,6.802019477,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072134728.mol2,6.794922948,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072134729.mol2,6.794922948,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000020021229.mol2,6.791282296,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004888779.mol2,6.786471605,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408603493.mol2,6.770413518,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000096121979.mol2,6.767916679,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001122759.mol2,6.7582798,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013059066.mol2,6.756668687,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016651886.mol2,6.749711037,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000006707166.mol2,6.743468046,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012622971.mol2,6.705177426,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000065385089.mol2,6.692703366,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000072462892.mol2,6.691977382,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000008224156.mol2,6.686860323,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000014182802.mol2,6.684236526,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408586446.mol2,6.680519581,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000058191032.mol2,6.665162444,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000017320859.mol2,6.662543416,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000008699061.mol2,6.66164577,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016084487.mol2,6.641675234,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012747667.mol2,6.635395885,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000023805398.mol2,6.623872519,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028654819.mol2,6.621924043,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207874.mol2,6.614552736,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000095432519.mol2,6.604737043,
