ZINC_ID,SMILES,Highest_Similarity,Similar_To_Query
"ZINC000072366081","[H]c1c([H])c([C@@]2([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])N([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2073,"Tipranavir"
"ZINC000007703268","[H]c1c([H])c(S(=O)(=O)N([H])[C@]([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000065337336","[H]O[C@@]1([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2C(=O)N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]",0.2000,"Tipranavir"
"ZINC000065337334","[H]O[C@]1([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2C(=O)N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]",0.2000,"Tipranavir"
"ZINC000007703263","[H]c1c([H])c(S(=O)(=O)N([H])[C@@]([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000136675139","[H]c1c([H])c(S(=O)(=O)n2c([H])c([H])c(C(F)(F)F)c2[H])c([H])c([H])c1C([H])([H])[H]",0.2000,"Tipranavir"
"ZINC000076066614","[H]c1sc([C@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H])nc1C([H])([H])N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]",0.2000,"Ritonavir"
"ZINC000076066611","[H]c1sc([C@@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H])nc1C([H])([H])N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]",0.2000,"Ritonavir"
"ZINC000000145697","[H]C(C(=O)N([H])c1c([H])c(C(F)(F)F)c([H])c([H])c1Cl)=C(C([H])([H])[H])C([H])([H])[H]",0.2000,"Tipranavir"
"ZINC000002455246","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])c1C(=O)O",0.2000,"Darunavir"
"ZINC000058191032","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])[H]",0.2065,"Darunavir"
"ZINC000065385089","[H]c1c([H])c(F)c([H])c([C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)N([H])C([H])([H])C2([H])[H])N(C([H])([H])[H])C([H])([H])[H])c1[H]",0.2020,"Lopinavir"
"ZINC000065385090","[H]c1c([H])c(F)c([H])c([C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)N([H])C([H])([H])C2([H])[H])N(C([H])([H])[H])C([H])([H])[H])c1[H]",0.2020,"Lopinavir"
"ZINC000039986009","[H]c1c([H])c([H])c(S(=O)(=O)N(C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H]",0.2000,"Darunavir"
"ZINC000039985286","[H]c1c([H])c([H])c(S(=O)(=O)N(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H]",0.2043,"Darunavir"
"ZINC000039986010","[H]c1c([H])c([H])c(S(=O)(=O)N(C([H])([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H]",0.2000,"Darunavir"
"ZINC000408603493","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])C([H])([H])[H]",0.2022,"Darunavir"
"ZINC000088059571","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[N+]([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2222,"Tipranavir"
